"RWANDA HEALTH SERVICES TARIFF IN PRIVATE FACILITIES 2025-2027
 FOR RAMA, MMI, MIS/UR AND PRIVATE INSURANCE AND NON INSURED RWANDANS",,,
RHIC-MXFS-031,"Reconstruction, bifrontal, superior-lateral orbital rims and lower forehead, advancement or alteration (eg, plagiocephaly, trigonocephaly, brachycephaly), with or without grafts (includes obtaining autografts)","585,374","639,201"
RHIC-MXFS-032,"Reconstruction superior-lateral orbital rim and lower forehead, advancement or alteration, with or without grafts (includes obtaining autografts)","864,145","942,213"
RHIC-MXFS-033,Reconstruction of zygomatic arch and glenoid fossa with bone and cartilage (includes obtaining autografts),"959,806","1,046,777"
RHIC-MXFS-034,"Reconstruction of mandibular rami, horizontal, vertical, c, or l osteotomy; without bone graft","372,886","407,066"
RHIC-MXFS-035,"Reconstruction of mandibular rami, horizontal, vertical, c, or l osteotomy; with bone graft (includes obtaining graft)","702,147","765,543"
RHIC-MXFS-036,"Reconstruction of mandibular rami and/or body, sagittal split; without internal rigid fixation","397,987","434,057"
RHIC-MXFS-037,"Reconstruction of mandibular rami and/or body, sagittal split; with internal rigid fixation","466,753","509,096"
RHIC-MXFS-038,Reconstruction of mandibular condyle with bone and cartilage autografts (includes obtaining grafts),"702,147","765,543"
RHIC-MXFS-039,"Reconstruction midface, osteotomies (other than lefort type) and bone grafts (includes obtaining autografts)","392,823","428,737"
RHIC-MXFS-040,"Reconstruction midface, lefort iii (extracranial), any type, requiring bone grafts (includes obtaining autografts); without lefort i","508,363","554,909"
RHIC-MXFS-041,"Reconstruction midface, lefort iii (extracranial), any type, requiring bone grafts (includes obtaining autografts); with lefort i","888,730","968,936"
RHIC-MXFS-042,"Reconstruction midface, lefort iii (extra and intracranial) with forehead advancement (eg, mono bloc), requiring bone grafts (includes obtaining autografts); with lefort i","1,182,314","1,289,219"
RHIC-MXFS-043,"Reconstruction midface, lefort ii; anterior intrusion (eg, treacher-collins syndrome)","1,913,281","2,086,673"
RHIC-MXFS-044,"Reconstruction midface, lefort i; single piece, segment movement in any direction, without bone grafts","724,301","789,624"
RHIC-MXFS-045,"Reconstruction midface, lefort i; single piece, segment movement in any direction, requiring bone grafts ( includes obtaining autografts)","886,299","966,294"
RHIC-MXFS-046,"Reconstruction midface, lefort i; 3 or more pieces, segment movement in any direction, without bone graft","584,286","638,019"
RHIC-MXFS-047,"Reconstruction midface, lefort i; 3 or more pieces, segment movement in any direction, requiring bone grafts (includes obtaining autografts)","1,020,407","1,112,648"
RHIC-MXFS-048,"Reconstruction midface, lefort i; 2 pieces, segment movement in any direction, without bone graft","482,691","527,004"
RHIC-MXFS-049,"Reconstruction midface, lefort i; 2 pieces, segment movement in any direction, requiring bone grafts","863,057","941,031"
RHIC-MXFS-050,"Reconstruction by contouring of benign tumor of cranial bones (eg, fibrous dysplasia), extracranial","479,521","522,973"
RHIC-MXFS-051,Partial maxillectomy,"375,969","410,417"
RHIC-MXFS-052,Partial mandibulectomy,"145,939","159,214"
RHIC-MXFS-053,"Osteotomy, maxilla, segmental (eg, wassmund or schuchard)","127,698","139,387"
RHIC-MXFS-054,"Osteotomy, mandible, segmental;","127,698","139,387"
RHIC-MXFS-055,Osteotomy of maxilla for access or correction of occlusion ) le fort i / ii / iii,"838,692","914,840"
RHIC-MXFS-056,Osteotomy – mandibular rami with bone graft; includes obtaining the graft,"732,359","798,968"
RHIC-MXFS-057,Osteotomy – mandibular rami,"123,049","134,334"
RHIC-MXFS-058,Osteotomy – body of mandible,"123,049","134,334"
RHIC-MXFS-059,"Osteoplasty, facial bones; reduction","965,551","1,053,022"
RHIC-MXFS-060,"Osteoplasty, facial bones; augmentation (autograft, allograft, or prosthetic implant)","1,280,250","1,396,256"
RHIC-MXFS-061,Osteoplasty – for orthognathic deformities,"243,558","266,102"
RHIC-MXFS-062,"Osseous, osteoperiosteal, or cartilage graft of the mandible or maxilla","224,645","245,349"
RHIC-MXFS-063,Osseo-integration procedure: plate fixation following excision of a tumor,"434,751","474,428"
RHIC-MXFS-064,Orthognathic surgery,"470,945","513,555"
RHIC-MXFS-065,Oro-antral fistula clossure,"152,652","166,511"
RHIC-MXFS-066,Orbital wall or floor treatment including reduction of prolapsed or entrapped orbital contents,"372,392","406,529"
RHIC-MXFS-067,Orbital cavity wall or floor reconstruction with or without foreign implants,"248,441","271,117"
RHIC-MXFS-068,"Open surgical exploration with meniscus, capsular or condylar head surgery","571,534","624,157"
RHIC-MXFS-069,Open reduction zygomaticomaxillary complex fracture,"460,369","502,741"
RHIC-MXFS-070,Open reduction of mandibular dislocation,"137,705","150,216"
RHIC-MXFS-071,Open reduction of comminuted fractures of maxilla & mandible,"207,567","226,591"
RHIC-MXFS-072,Open reduction maxilla-lefort 3,"508,363","554,909"
RHIC-MXFS-073,Open reduction maxilla-lefort 2,"385,654","420,944"
RHIC-MXFS-074,Open reduction maxilla-lefort 1,"279,500","304,975"
RHIC-MXFS-075,Open reduction for maxilla fracture (no plates),"206,318","225,234"
RHIC-MXFS-076,Open reduction and internal fixation of nose/septum fracture,"233,283","254,739"
RHIC-MXFS-077,Open reduction and fixation of orbital fracture including floor,"409,114","446,152"
RHIC-MXFS-078,Open reduction + internal fixation of mandible fracture,"345,101","376,865"
RHIC-MXFS-079,Open reduction of the nasal bone fracture,"294,770","321,865"
RHIC-MXFS-080,Onlay,"22,988","25,299"
RHIC-MXFS-081,Oac closure by a loco-regional flap,"332,823","363,519"
RHIC-MXFS-082,Mucosa advancement flap : reconstruction of oral mucosal defect with local flap,"282,196","308,197"
RHIC-MXFS-083,Maxillo-facial cystectomy (below 10 cm),"83,605","91,314"
RHIC-MXFS-084,Maxillo-facial cystectomy (above 10 cm),"228,436","249,470"
RHIC-MXFS-085,Maxillo mandibular fixation,"157,171","171,306"
RHIC-MXFS-086,Maxillectomy and reconstruction,"1,175,419","1,282,309"
RHIC-MXFS-087,Maxillary fixation,"72,867","79,671"
RHIC-MXFS-088,Maxillary artery ligation,"143,355","156,405"
RHIC-MXFS-089,Marginal mandibulectomy,"213,401","232,835"
RHIC-MXFS-090,"Mandibular fracture treatment using splinting, wiring of teeth or circumosseous fixation","241,719","263,674"
RHIC-MXFS-091,Mandibular fixation,"62,496","68,281"
RHIC-MXFS-092,Mandible reconstruction with vascularised bone graft,"1,537,465","1,674,667"
RHIC-MXFS-093,Mandible reconstruction with non vascularised bone graft,"1,325,371","1,445,300"
RHIC-MXFS-094,"Malar augmentation, prosthetic material","295,230","322,365"
RHIC-MXFS-095,"Ligation of facial, mandibular or lingual artery or vein","142,837","155,843"
RHIC-MXFS-096,"Lengthening of palate, with island flap","447,623","488,887"
RHIC-MXFS-097,"Lengthening of palate, and pharyngeal flap","447,623","488,887"
RHIC-MXFS-098,Intraosseous wiring,"228,377","249,406"
RHIC-MXFS-099,Intracranial osteotomy of bone of face,"1,242,356","1,355,067"
RHIC-MXFS-100,Intermaxillary fixation & reduction - fixation of dentoalveolar fracture of maxilla / mandible,"320,933","350,595"
RHIC-MXFS-101,Insertion of pin-retained palatal prosthesis,"63,727","69,561"
RHIC-MXFS-102,Insertion of pin or wire or screw into maxilla or mandible or zygoma independent procedure,"219,621","239,888"
RHIC-MXFS-103,Injection of therapeutic substance into pathologic lesion or salivary gland (sclerotherapy),"55,337","60,441"
RHIC-MXFS-104,Incision and drainage fascial spaces abscess of neck region,"219,824","240,109"
RHIC-MXFS-105,Incision and drainage fascial spaces abscess of head region,"316,771","346,071"
RHIC-MXFS-106,Hemimaxillectomy,"634,050","691,525"
RHIC-MXFS-107,Hemimandibulectomy with reconstruction,"850,970","927,892"
RHIC-MXFS-108,Hemimandibulectomy,"293,683","320,683"
RHIC-MXFS-109,Hemiglosectomy and reconstruction,"818,931","893,068"
RHIC-MXFS-110,"Graft; rib cartilage, autogenous, to face, chin, nose or ear (includes obtaining graft)","456,088","498,087"
RHIC-MXFS-111,"Graft; ear cartilage, autogenous, to nose or ear (includes obtaining graft)","303,695","331,565"
RHIC-MXFS-112,Facial tissue defect reconstruction using local regional flaps,"658,966","718,607"
RHIC-MXFS-113,Facial tissue defect reconstruction using free flap,"807,182","880,882"
RHIC-MXFS-114,Facial nerve palsy correction with local regional muscle flap,"661,916","721,814"
RHIC-MXFS-115,Facial nerve palsy correction with free flap,"1,021,643","1,113,991"
RHIC-MXFS-116,Facial nerve decompression,"504,675","550,314"
RHIC-MXFS-117,Facial nerve – grafting,"899,961","981,143"
RHIC-MXFS-118,Extraoral fixation of maxilla / mandible,"247,539","270,234"
RHIC-MXFS-119,Excision of small bony pathology of palate / mandible ( tosus / exostoses )/ bone biopsy,"184,592","201,521"
RHIC-MXFS-120,Excision of maxillary tumor >4 cm,"512,474","559,377"
RHIC-MXFS-121,Excision of maxillary tumor <4 cm,"228,629","249,680"
RHIC-MXFS-122,Excision of mandibular tumor > 10 cm,"512,474","559,377"
RHIC-MXFS-123,Excision of mandibular tumor < 10 cm,"228,629","249,680"
RHIC-MXFS-124,Excision of lesion of infratemporal fossa,"512,885","560,116"
RHIC-MXFS-125,"Excision of a tumor involving soft tissues, head & neck","227,238","248,168"
RHIC-MXFS-126,Endosseous / subperiosteal implantation into jaw,"185,963","203,011"
RHIC-MXFS-127,Dental clearance upper or lower jaw or total ( prosthetic / pre radiation therapy ),"136,119","148,540"
RHIC-MXFS-128,"Debridement of deep wound of soft tissue, head & neck region","154,048","168,028"
RHIC-MXFS-129,Cross facial nerve graft (each stage),"965,913","1,053,416"
RHIC-MXFS-130,Correction of occlusion / osteotomy of the ramus or body,"218,422","238,292"
RHIC-MXFS-131,Correction of malunion of maxilla / mandible,"795,451","867,545"
RHIC-MXFS-132,Comando operation,"2,736,178","2,981,127"
RHIC-MXFS-133,Closed reduction of nasal bone fracture,"112,686","122,953"
RHIC-MXFS-134,Closed reduction of mandible involving a joint surface,"112,924","123,211"
RHIC-MXFS-135,Caldwell luc operation of maxillary antrum for lavage / drainage / biopsy,"136,119","148,540"
RHIC-MXFS-136,Bone replacement graft for ridge preservation – per site,"186,662","203,771"
RHIC-MXFS-137,Bilateral open reduction+ fixation mandible condyle fracture,"424,568","463,241"
RHIC-MXFS-138,Bilateral condylectomy with coronoidectomy,"414,634","453,029"
RHIC-MXFS-139,Bilateral condylectomy,"591,125","645,452"
RHIC-MXFS-140,Augmentation of alveolar ridge incuding alveolar bone grafting in cleft palate patients,"272,632","298,094"
RHIC-MXFS-141,"Arthroplasty, temporomandibular joint, without graft","339,208","370,460"
RHIC-MXFS-142,"Arthroplasty, temporomandibular joint, with prosthetic joint replacement","358,431","391,354"
RHIC-MXFS-143,"Arthroplasty, temporomandibular joint, with graft (includes obtaining graft)","438,164","478,605"
RHIC-MXFS-144,Alveoloplasty,"194,177","211,939"
RHIC-MXFS-145,Adjustment of occlusion by ramisection,"358,313","391,226"
RHIC-MXFS-146,Acute facial nerve exploration and repair,"420,414","459,311"
1,Removeble Partial denture per unit,"33,620","33,620"
2,Vaccum formed retainer per arch,"51,099","51,099"
3,Fixed retainer per arch,-,"50,000"
4,Hawley retainer per arch,-,"100,000"
5,Temporary anchorage devices(TADs) per unit,-,"400,000"
6,Dental implant per unit,-,"1,200,000"
7,Ceramic braces,-,"1,200,000"
8,Lingual braces,-,"1,500,000"
9,Clear alginers,-,"3,500,000"
10,Periodontal Surgery per sextant,-,"500,000"
11,OPG,-,"20,000"
12,CBCT scan,-,"70,000"
13,Cephalometric x-ray,-,"25,000"
